user_id,gender,age_group
d89395c1-8439-42f3-a842-7ae7bbebb169,F,18-24
f04b206f-17d6-4ea9-9913-1369929c5030,F,25-34
73db2671-b277-4449-8147-69118b68087b,F,50-XX
79d0b13b-2fc9-4a86-ad30-6ad10ef2c05d,M,25-34
462a117d-c2f4-4aad-978d-79cdfa544215,M,18-24
c652b9ef-76e7-4307-8c2e-41ebb4112cce,F,18-24
dccfaee4-0a62-4085-bbbb-f21811df882a,M,25-34
967b0f68-c38d-4ab5-9abb-758a2a4f3363,M,18-24
6112bf42-40a0-4ee5-b772-d2394c824cf7,M,25-34
9bf16b2f-4d30-4b50-9f27-136513188a90,M,18-24
93ec14bd-97c6-460c-870d-40d0839e9e81,M,18-24
995f75c4-d79c-48f5-ad22-ef699b7c4109,M,18-24
261b5297-6535-426e-bebf-aa3a75ea490a,F,18-24
5f128a11-e088-498d-8ca8-7bf391a1bfe7,M,25-34
81db75e5-a2fd-4d42-b1e8-bfb193439f5c,F,25-34
5e98b72a-9b61-43c3-837f-49690e90b009,F,35-49
6208fd1b-7d9c-4eb1-9a78-74661541caeb,F,25-34
ed62a366-9c13-4a72-b41a-a0be57535910,M,18-24
5548eb07-00b5-4a23-a818-55347813fe9d,F,25-34
c9851350-2d85-467f-8a57-3f6e19e2b71f,F,35-49
126830a0-8667-4f0b-bee1-6cf3bcdc9657,M,18-24
4aee8558-e6c2-43e4-8fdf-54d90b503cdb,M,35-49
af14550a-9e43-41fd-8ce0-8fdfe33664c2,M,18-24
e5f6483c-31bd-48b3-aed1-24b96801b3b3,F,25-34
a3c3442b-78a1-4d3f-b77c-c2079a3c39b7,F,25-34
6e9b59a4-704b-4be3-a485-953081cf232c,F,25-34
4cdc3798-2c78-497d-8063-ad2842567c8b,F,18-24
4d44835a-6fa8-4abb-8047-2bda762cc999,M,25-34
1bccb2ff-2818-44ba-ada6-3393915183f5,F,25-34
ed1beee8-877b-47d0-9871-42a1c3132e1f,F,18-24
6877420b-c7d2-4923-955e-11cc46ba65f3,M,18-24
23fcddf4-f057-48ea-9aa2-bb42f563271e,M,35-49
2b0a943e-39f0-4c7e-9c54-823ffe77a71a,F,18-24
11e35956-4801-405c-948d-7dd161566e68,F,18-24
a3b2adab-030b-442d-9446-145004fb6f64,M,18-24
449766ca-61c1-4d81-ab3e-44e14221030d,F,25-34
7aecbba3-d621-49f2-b58d-9a33b6f4fdf8,F,25-34
f3b0dcd7-7331-4cea-a998-76a62cc31f37,F,25-34
e818a186-d9ed-41fd-9576-86c7d9719e55,M,25-34
80764f7f-c081-4438-a6b2-15f9097ca840,F,18-24
09642be7-73db-414a-8caf-38d04f2aa5fa,F,18-24
ee3fc147-edbc-4f87-8b34-59377688df7d,M,25-34
cc134f02-de5f-4151-80d4-a23cdd7fcce3,F,50-XX
07e3e8ac-b97e-44f3-8aeb-b3aa02db727f,F,18-24
93e64e07-2619-4837-9f3a-95ec972313ba,M,25-34
28a21b8d-f0bd-4017-9450-f5b8f0f5109f,F,18-24
6fdac786-ba69-4d82-bd02-c61485ecb930,F,35-49
957fa5a3-3166-4922-bcb5-50bf71030e1f,M,35-49
