user_id,gender,age_group
d941cac9-38fe-4de4-8170-51bc79462d77,M,25-34
58498b85-77c5-4769-990f-cadc3269f364,F,50-XX
2f519909-06da-4f61-a624-ce3221eac5b7,F,35-49
10f7ca83-cb58-46a3-a045-53e22f35b929,M,35-49
c249233f-1772-4e71-8dbd-5f790091d715,M,25-34
7cb4024b-4a74-4edc-ba3e-20b6806d8a6e,F,18-24
8f0197d2-e15e-45c1-8682-ecdd2b9e6c0a,M,25-34
8e69d527-8292-4d22-b453-bfdad9cb960e,F,25-34
771f627d-e23f-40e6-963f-984dbf393196,M,25-34
b106bd16-c2aa-4edf-9d90-fac80cb44479,M,35-49
00370539-d641-4896-9398-5c8ecadf4284,F,25-34
ccce5235-101a-4861-8ce0-7803dc9c00d7,M,25-34
7383c3fa-f7ba-43b6-b33c-7c49041abf77,M,18-24
b730651c-987a-4bd3-bd11-9b3d0398faee,F,35-49
dc2e057b-88e7-452c-bc6f-48561c02e455,F,25-34
a1496f3a-dcce-4333-b630-3b6b6136042f,F,35-49
176f52d8-4580-46b6-b6b8-db5b57d65508,F,25-34
cc1e8862-9d0e-4a4b-81a9-1473282a3980,M,18-24
aebf8aad-17da-4c48-9001-7b044b563a7b,M,35-49
5e531948-2119-4441-b645-5759a6248006,F,18-24
44a0b8ec-e4db-45c0-ab8e-e3ade3b4486c,F,25-34
b2f1e6e0-8b5c-4caa-b8ad-9e47325a56de,M,25-34
c5988c76-c39d-46e7-95a6-9f1dccfc11ad,M,25-34
d936073c-76bc-4c91-89db-dcf0ef8a2dd6,F,25-34
51ddae52-b906-414c-b634-455a0f11e5eb,F,25-34
8d5833f0-f2fd-4a54-8a4b-75a0307e314c,F,25-34
7dfb75ff-2290-4ca7-89a3-c55e14e60918,M,25-34
306fa96b-946a-4e35-970a-99c202992362,F,18-24
71e74d26-e46a-4374-9250-e45b4b3ebd71,M,18-24
5a74f648-7fc4-4e25-bfee-f3b4097fda05,F,25-34
9d073930-24d8-42f2-866e-fcc51e07749b,F,25-34
13ade1d2-33f7-496f-a5b7-ebec0467ecb1,F,35-49
43af2c4c-4877-4b76-a04e-f22b5904d12f,M,25-34
2b6585df-4c91-411e-99be-106df7ca877e,F,50-XX
fd9bb641-aa92-4f0b-ba62-62c9fbf336c1,M,25-34
7347862c-edc3-479a-bbf4-d78daf9a0f70,F,25-34
b023429b-ab23-4f7b-abb7-dc5f6bc62834,M,25-34
