sample_id,user_id,user_text_preview,predicted_traits,explanation_summary,groundedness,helpfulness,consistency,rater_name,notes
1,783c632c-ea3a-4989-8149-c5078dc647db,"Dev leaves minor bug in App -> User gives 1-star rating -> Dev fixes bug -> User never changes rating -.- Do not touch http Coding early in the morning and wondering why Eclipse for Java marks ""for i ...","{""open"": 0.32837411761283875, ""conscientious"": 0.19997566938400269, ""extroverted"": 0.15512125194072723, ""agreeable"": 0.19265970587730408, ""stable"": 0.27873799204826355}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,4,4,4,Expert_AI,Auto-labeled (baseline)
2,82874e81-fb12-4455-8fa2-c358961b32fc,I can't stop watching this video http I'm completely aware that my #macbook is gonna die #shit #riot anywhere but #Italy #londonriots “@user: London turns to crowdsourcing to identify looters and clea...,"{""open"": 0.1904132217168808, ""conscientious"": 0.14977991580963135, ""extroverted"": 0.3274870216846466, ""agreeable"": 0.1529347002506256, ""stable"": 0.12860648334026337}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,3,3,3,Expert_AI,Auto-labeled (baseline)
3,5097f2bf-bb7a-48f3-8c40-278ed7ff655c,white people love flexing their mediocre musicial skillz hello i am chloe jk shalissa thats shalissa http @user youre rivht brb “@user: @user 8 more shalissas” 7* i hate hipsters that dont make hips s...,"{""open"": 0.1472371220588684, ""conscientious"": 0.26530221104621887, ""extroverted"": 0.2837616205215454, ""agreeable"": 0.0, ""stable"": 0.0}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,4,5,5,Expert_AI,Auto-labeled (baseline)
4,387a4092-540d-45c8-b8bb-4b5c773f12a5,"You're no legend, you're a myth. That means I'll listen to your stories without even acknowledging your existence. Snapback off to you sir. RT @user: If I want the fucking planet, I can have it Don't ...","{""open"": 0.3088906407356262, ""conscientious"": 0.0847010686993599, ""extroverted"": 0.29963818192481995, ""agreeable"": 0.26083317399024963, ""stable"": 0.29585301876068115}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,4,3,5,Expert_AI,Auto-labeled (baseline)
5,4c1d5bd8-7bf3-42db-b84c-426aee515a1f,"@user @user I DON'T THINK SO! ""@user: I can't lose you. Because if I ever did, I'd have lost my best friend, my soul mate, my smile, my laugh, my everything."" @user listo bebe :) ? @user we have to do...","{""open"": 0.15283653140068054, ""conscientious"": 0.09167629480361938, ""extroverted"": 0.08578738570213318, ""agreeable"": 0.054592691361904144, ""stable"": 0.0}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,3,3,5,Expert_AI,Auto-labeled (baseline)
6,9f4ca5ba-5075-446c-b93a-c0a93ce9bfbc,"Apple vs. Google: The smartphone smackdown - How the World Works - Salon.com http @user Coincidentally, a recent French piece places Busa's work in its historical context : http #digitalhumanities @us...","{""open"": 0.3135335445404053, ""conscientious"": 0.12891602516174316, ""extroverted"": 0.23126351833343506, ""agreeable"": 0.2427135407924652, ""stable"": 0.2873551845550537}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,4,4,Expert_AI,Auto-labeled (baseline)
7,68aa0510-c167-41ae-9c3b-8ac8987db0db,I liked a @user videofrom @user http Foo Fighters Lollapalooza - Full Live Strea @user sorry about that! nah... not really ;) I liked a @user video http Kasabian - Fire @user Live Glastonbury 2009 I l...,"{""open"": 0.34687113761901855, ""conscientious"": 0.2625941336154938, ""extroverted"": 0.11604528874158859, ""agreeable"": 0.06867490708827972, ""stable"": 0.019243091344833374}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,3,4,5,Expert_AI,Auto-labeled (baseline)
8,51e1690d-6a0f-4ead-b3d9-7068776a290d,"Child's play- Sza Wanna know how it used to was, how it used to was. Anyone wanna fold my clothes for me? Someone FaceTime me while I wait in the car in the parking lot at Heb waiting for my mom I nee...","{""open"": 0.26357516646385193, ""conscientious"": 0.08270320296287537, ""extroverted"": 0.06745436787605286, ""agreeable"": 0.06194549426436424, ""stable"": 0.22137758135795593}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,3,3,4,Expert_AI,Auto-labeled (baseline)
9,493a2b48-98b3-4837-bd04-e32646f78aa3,Inglorious bastards #bestvines #bestvinesmexico http @user pooota toy igual DM! Andas on fire @user Friday night #bestvinesmexico #bestvines #lol #lmao #scaryshit http Acting like we don't exist. Krul...,"{""open"": 0.13800227642059326, ""conscientious"": 0.1799137443304062, ""extroverted"": 0.17025519907474518, ""agreeable"": 0.17255890369415283, ""stable"": 0.0007344530895352364}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,4,4,Expert_AI,Auto-labeled (baseline)
10,4528ba5b-c836-4c23-9bf4-842e0743ff9f,[Research Paper] Health related virtual communities and electronic support groups: systematic review of the... http @user thanks so much for the link! @user thanks for bringing health 2.0 conference t...,"{""open"": 0.05765707045793533, ""conscientious"": 0.17469513416290283, ""extroverted"": 0.27876508235931396, ""agreeable"": 0.21551299095153809, ""stable"": 0.24264921247959137}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,4,3,4,Expert_AI,Auto-labeled (baseline)
