sample_id,user_id,user_text_preview,predicted_traits,explanation_summary,groundedness,helpfulness,consistency,rater_name,notes
1,783c632c-ea3a-4989-8149-c5078dc647db,"Dev leaves minor bug in App -> User gives 1-star rating -> Dev fixes bug -> User never changes rating -.- Do not touch http Coding early in the morning and wondering why Eclipse for Java marks ""for i ...","{""open"": 0.2703883789574885, ""conscientious"": 0.15412040823889003, ""extroverted"": 0.15337996330395118, ""agreeable"": 0.1471530083809874, ""stable"": 0.14621461700561833}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,4,5,5,Expert_AI,Auto-labeled (sota)
2,82874e81-fb12-4455-8fa2-c358961b32fc,I can't stop watching this video http I'm completely aware that my #macbook is gonna die #shit #riot anywhere but #Italy #londonriots “@user: London turns to crowdsourcing to identify looters and clea...,"{""open"": 0.23667322521345355, ""conscientious"": 0.18584957307570935, ""extroverted"": 0.25253730599576324, ""agreeable"": 0.16372397779659825, ""stable"": 0.1769839020187458}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
3,5097f2bf-bb7a-48f3-8c40-278ed7ff655c,white people love flexing their mediocre musicial skillz hello i am chloe jk shalissa thats shalissa http @user youre rivht brb “@user: @user 8 more shalissas” 7* i hate hipsters that dont make hips s...,"{""open"": 0.22750240626731463, ""conscientious"": 0.16612183297157995, ""extroverted"": 0.1642021320516293, ""agreeable"": 0.03118745095682439, ""stable"": 0.0289615865163535}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
4,387a4092-540d-45c8-b8bb-4b5c773f12a5,"You're no legend, you're a myth. That means I'll listen to your stories without even acknowledging your existence. Snapback off to you sir. RT @user: If I want the fucking planet, I can have it Don't ...","{""open"": 0.26357997498935387, ""conscientious"": 0.111679897613832, ""extroverted"": 0.1856363814097999, ""agreeable"": 0.1439470614558864, ""stable"": 0.16644797801298447}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,3,5,5,Expert_AI,Auto-labeled (sota)
5,4c1d5bd8-7bf3-42db-b84c-426aee515a1f,"@user @user I DON'T THINK SO! ""@user: I can't lose you. Because if I ever did, I'd have lost my best friend, my soul mate, my smile, my laugh, my everything."" @user listo bebe :) ? @user we have to do...","{""open"": 0.24917903717894765, ""conscientious"": 0.15983351584418015, ""extroverted"": 0.15666755144949365, ""agreeable"": 0.12949957452212907, ""stable"": 0.07881879286294984}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
6,9f4ca5ba-5075-446c-b93a-c0a93ce9bfbc,"Apple vs. Google: The smartphone smackdown - How the World Works - Salon.com http @user Coincidentally, a recent French piece places Busa's work in its historical context : http #digitalhumanities @us...","{""open"": 0.2600543694254367, ""conscientious"": 0.15238784559647087, ""extroverted"": 0.16501738295258184, ""agreeable"": 0.13521154257552798, ""stable"": 0.1686987185405336}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
7,68aa0510-c167-41ae-9c3b-8ac8987db0db,I liked a @user videofrom @user http Foo Fighters Lollapalooza - Full Live Strea @user sorry about that! nah... not really ;) I liked a @user video http Kasabian - Fire @user Live Glastonbury 2009 I l...,"{""open"": 0.23401717604735953, ""conscientious"": 0.1827401818823309, ""extroverted"": 0.1597181644138989, ""agreeable"": 0.13632689158007608, ""stable"": 0.17017006968665335}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
8,51e1690d-6a0f-4ead-b3d9-7068776a290d,"Child's play- Sza Wanna know how it used to was, how it used to was. Anyone wanna fold my clothes for me? Someone FaceTime me while I wait in the car in the parking lot at Heb waiting for my mom I nee...","{""open"": 0.2507115289736613, ""conscientious"": 0.14033284681665548, ""extroverted"": 0.0969727806608872, ""agreeable"": 0.08992249212174078, ""stable"": 0.10912602763678976}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
9,493a2b48-98b3-4837-bd04-e32646f78aa3,Inglorious bastards #bestvines #bestvinesmexico http @user pooota toy igual DM! Andas on fire @user Friday night #bestvinesmexico #bestvines #lol #lmao #scaryshit http Acting like we don't exist. Krul...,"{""open"": 0.23445159145215505, ""conscientious"": 0.16214735370074923, ""extroverted"": 0.15807763341199826, ""agreeable"": 0.13294669936343392, ""stable"": 0.1455610070555975}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
10,4528ba5b-c836-4c23-9bf4-842e0743ff9f,[Research Paper] Health related virtual communities and electronic support groups: systematic review of the... http @user thanks so much for the link! @user thanks for bringing health 2.0 conference t...,"{""open"": 0.21977660506398497, ""conscientious"": 0.1972330589763614, ""extroverted"": 0.20151574196472624, ""agreeable"": 0.16379200951671075, ""stable"": 0.16816385941701956}",This personality profile is generated using machine learning analysis of the provided posts. The scores represent tendencies on a 0-1 scale.,5,5,5,Expert_AI,Auto-labeled (sota)
