epoch,train_loss,learning_rate,eval_loss,eval_rmse,eval_mae,eval_acc,eval_pearson
1,0.06252729332146163,1e-05,0.03662371064225833,0.19137323,0.15288262,0.37333333333333335,0.27553177
2,0.04087120212184695,2e-05,0.04565727512041728,0.21367563,0.17140748,0.4,0.39433375
3,0.038085708081220776,2e-05,0.04648195852835973,0.21559675,0.17280482,0.36666666666666664,0.4112466
4,0.033523051211467154,1.9978803340062177e-05,0.03717275882760684,0.19280238,0.15331808,0.37333333333333335,0.4603371
5,0.033367174999931686,1.9915304127600726e-05,0.04305649151404699,0.20750059,0.16744028,0.34,0.5114727
6,0.028782948206823606,1.9809774275991984e-05,0.029025356223185857,0.17036828,0.1333263,0.43333333333333335,0.6031353
7,0.030949591766469754,1.966266568026178e-05,0.0345761276781559,0.18594657,0.14699723,0.4066666666666667,0.62138665
8,0.02334992582193361,1.9474608282001554e-05,0.02007157032688459,0.14167416,0.10840556,0.5866666666666667,0.6460202
9,0.023767230593456097,1.9246407371861743e-05,0.03208596110343933,0.17912553,0.1423347,0.4066666666666667,0.675224
10,0.018691507678550597,1.8979040141173618e-05,0.023915594071149827,0.15464666,0.11810186,0.5,0.6895658
11,0.016501687032779537,1.867365149746595e-05,0.019109836344917617,0.13823834,0.10823617,0.5266666666666666,0.67710775
12,0.014017891004466666,1.8331549161795205e-05,0.01637791922936837,0.12797625,0.099651314,0.56,0.72238195
13,0.012131454673810648,1.7954198068883233e-05,0.018180573110779127,0.13483536,0.10031301,0.5733333333333334,0.7212288
14,0.007592384797485115,1.754321409404188e-05,0.01854356676340103,0.13617477,0.105055846,0.5933333333333334,0.7207804
15,0.006031272422450666,1.7100357133746823e-05,0.017209861427545547,0.13118635,0.1002383,0.58,0.719801
16,0.005037781019032432,1.6627523569490685e-05,0.013707574332753818,0.117079355,0.0878394,0.66,0.76570827
17,0.004352133421119875,1.6126738147186337e-05,0.012733233161270618,0.11284162,0.0834959,0.6733333333333333,0.7723759
18,0.003905105171725154,1.5600145306894067e-05,0.014271246890227,0.11946232,0.09095092,0.6266666666666667,0.78211826
19,0.003120135309962699,1.505e-05,0.015409837290644646,0.12413637,0.09396231,0.62,0.7539466
20,0.0028934682240315643,1.4478658033168112e-05,0.013588232857485612,0.11656859,0.08523367,0.6733333333333333,0.79096174
21,0.0026464118138672067,1.3888565980414389e-05,0.01626027300953865,0.12751578,0.09803502,0.64,0.75831085
22,0.0025828379260089537,1.3282250706501299e-05,0.01613240453104178,0.1270134,0.09304043,0.62,0.7719662
23,0.00216094548187147,1.2662308546514954e-05,0.014370330733557542,0.11987632,0.08911696,0.6266666666666667,0.7843884
24,0.0017513733216149446,1.203139418795967e-05,0.015145189687609672,0.12306579,0.09049656,0.6266666666666667,0.7594221
25,0.0018021921154845937,1.1392209302978512e-05,0.013796116597950459,0.11745687,0.08683302,0.6666666666666666,0.7769135
26,0.001828623502380931,1.074749097937842e-05,0.014594751099745432,0.120808735,0.091263875,0.66,0.77660227
