epoch,train_loss,learning_rate,eval_loss,eval_rmse,eval_mae,eval_acc,eval_pearson
1,0.10894872835622384,1e-05,0.026319967582821846,0.16223429,0.13415799,0.45,0.053973615
2,0.047099840898926444,2e-05,0.03282466251403093,0.18117577,0.15069771,0.275,0.12348189
3,0.03519792324648453,2e-05,0.03558925352990627,0.18865114,0.15802982,0.35,0.27915728
4,0.029841194072595008,1.9978803340062177e-05,0.026486300863325596,0.16274613,0.13098547,0.425,0.3503793
5,0.03713174608464424,1.9915304127600726e-05,0.030655269511044025,0.17508647,0.14701399,0.375,0.40254125
6,0.03293338948144363,1.9809774275991984e-05,0.04247740097343922,0.20610046,0.17342338,0.25,0.42479149
7,0.03785026130767969,1.966266568026178e-05,0.025276404805481434,0.15898554,0.13156018,0.475,0.45646995
8,0.031964935863820404,1.9474608282001554e-05,0.030667089857161045,0.17512022,0.14483324,0.35,0.45901138
9,0.02640087981350147,1.9246407371861743e-05,0.032334648072719574,0.17981838,0.15055779,0.35,0.52933943
10,0.025181763232327424,1.8979040141173618e-05,0.02793857268989086,0.16714837,0.13971677,0.45,0.60347575
11,0.025160182267427444,1.867365149746595e-05,0.021333893295377493,0.14606127,0.11448302,0.525,0.6533764
12,0.017288479165962108,1.8331549161795205e-05,0.026038040407001972,0.16136307,0.13044617,0.425,0.64456666
13,0.01635586445291455,1.7954198068883233e-05,0.030106994323432446,0.17351368,0.1395223,0.35,0.6621191
14,0.01908698806969019,1.754321409404188e-05,0.023126551415771246,0.15207417,0.1162159,0.55,0.7030176
15,0.017820845608814403,1.7100357133746823e-05,0.023270473815500736,0.15254663,0.12197137,0.5,0.67453426
16,0.01282876769367319,1.6627523569490685e-05,0.02641531266272068,0.16252789,0.13156107,0.45,0.7257426
17,0.012669057621119114,1.6126738147186337e-05,0.02424736227840185,0.15571563,0.123408005,0.475,0.7271969
18,0.00994797029460852,1.5600145306894067e-05,0.021539405453950167,0.14676309,0.116944954,0.425,0.7271056
19,0.019421013394513957,1.505e-05,0.03327448479831219,0.18241295,0.1496208,0.325,0.7224244
20,0.016462282707484868,1.4478658033168112e-05,0.020312241278588772,0.14252102,0.11055453,0.55,0.7251502
21,0.014945350229167022,1.3888565980414389e-05,0.03205051366239786,0.17902657,0.14445776,0.4,0.73355544
22,0.015959565599377338,1.3282250706501299e-05,0.0265599200502038,0.16297214,0.13497724,0.375,0.72170585
23,0.012443179273619674,1.2662308546514954e-05,0.022977860644459724,0.1515845,0.11918306,0.475,0.705602
24,0.012241307144554762,1.203139418795967e-05,0.031865427270531654,0.1785089,0.14540386,0.325,0.7322856
25,0.011446394903871875,1.1392209302978512e-05,0.023869183845818043,0.15449654,0.122408114,0.45,0.7406504
26,0.014115476425593862,1.074749097937842e-05,0.029524846002459526,0.17182794,0.14010075,0.325,0.74049133
27,0.004109777545986267,1.01e-05,0.021007453557103872,0.14493948,0.11398876,0.575,0.745677
28,0.008076276746578515,9.452509020621582e-06,0.026372761465609074,0.16239692,0.12955835,0.425,0.7424052
29,0.006650547102953379,8.807790697021488e-06,0.021406566258519888,0.14630982,0.118140146,0.45,0.7530053
