Language,Trait,MAE
en,open,0.08085326998794484
en,conscientious,0.06585990183244819
en,extroverted,0.07983116895212966
en,agreeable,0.08617254527822388
en,stable,0.10993911885987906
es,open,0.09793055669257511
es,conscientious,0.11182259241805265
es,extroverted,0.10229829576258595
es,agreeable,0.08770430865452479
es,stable,0.12470191940175075
it,open,0.11005662252505619
it,conscientious,0.07123326117793717
it,extroverted,0.05308387190103532
it,agreeable,0.08513911803563437
it,stable,0.11782835933069388
nl,open,0.0635955810546875
nl,conscientious,0.0734985401720873
nl,extroverted,0.06549462686691965
nl,agreeable,0.10401688412364041
nl,stable,0.1045116281935147
